Year,Period,price_cwt,N,P,K,temperature,humidity,ph,rainfall,label
2014,JAN,21.5,59,62,83,18.6,19.2,8.1,72.9,Soyabeans
2014,JAN,21.5,22,67,78,17.2,14.4,6.2,72.3,Soyabeans
2014,JAN,21.5,36,65,80,18.3,16.7,6.1,74.9,Soyabeans
2014,JAN,21.5,59,60,84,19.0,18.7,7.7,94.7,Soyabeans
2014,JAN,21.5,54,77,85,17.1,17.1,7.8,83.7,Soyabeans
2014,JAN,21.5,43,68,81,17.5,17.9,6.8,78.9,Soyabeans
2014,JAN,21.5,28,76,82,20.6,14.3,6.7,83.8,Soyabeans
2014,JAN,21.5,42,79,85,17.2,15.8,6.1,76.6,Soyabeans
2014,JAN,21.5,32,60,83,19.7,19.4,8.8,91.8,Soyabeans
2014,JAN,21.5,22,78,76,17.8,19.1,8.6,76.3,Soyabeans
2014,JAN,21.5,31,79,75,18.8,16.1,8.2,89.7,Soyabeans
2014,JAN,21.5,28,58,81,17.5,16.5,6.2,93.4,Soyabeans
2014,JAN,21.5,57,58,77,18.7,17.6,8.0,81.2,Soyabeans
2014,JAN,21.5,49,55,78,18.7,16.2,7.9,81.7,Soyabeans
2014,JAN,21.5,46,76,77,18.2,19.7,7.0,83.7,Soyabeans
2014,JAN,21.5,54,61,77,18.8,15.2,6.2,77.5,Soyabeans
2014,JAN,21.5,38,60,76,18.7,17.8,8.9,77.9,Soyabeans
2014,JAN,21.5,59,55,79,20.4,16.9,8.8,82.3,Soyabeans
2014,JAN,21.5,36,76,75,18.4,16.6,8.7,70.5,Soyabeans
2014,JAN,21.5,57,68,81,17.2,17.3,8.1,72.8,Soyabeans
2014,JAN,21.5,35,66,81,19.4,15.8,6.1,85.2,Soyabeans
2014,JAN,21.5,35,64,78,17.9,14.3,7.5,85.4,Soyabeans
2014,JAN,21.5,52,60,79,19.5,18.2,8.4,75.6,Soyabeans
2014,JAN,21.5,27,76,83,19.1,14.9,6.3,89.6,Soyabeans
2014,JAN,21.5,57,60,84,19.1,17.3,6.6,75.5,Soyabeans
2014,JAN,21.5,52,68,78,17.5,17.0,6.9,86.1,Soyabeans
2014,JAN,21.5,43,79,79,19.4,19.0,7.8,80.3,Soyabeans
2014,JAN,21.5,44,74,85,20.2,19.6,7.2,78.3,Soyabeans
2014,JAN,21.5,24,55,78,17.3,15.2,6.6,75.6,Soyabeans
2014,JAN,21.5,29,77,75,17.5,15.5,7.8,72.9,Soyabeans
2014,JAN,21.5,20,60,78,18.2,14.7,6.4,90.8,Soyabeans
2014,JAN,21.5,56,67,78,17.6,16.7,8.3,77.8,Soyabeans
2014,JAN,21.5,37,66,85,20.9,18.9,6.5,78.1,Soyabeans
2014,JAN,21.5,49,71,76,19.7,17.6,6.6,85.6,Soyabeans
2014,JAN,21.5,59,69,80,19.1,17.9,8.2,69.4,Soyabeans
2014,JAN,21.5,20,79,77,18.5,16.0,7.6,76.3,Soyabeans
2014,JAN,21.5,24,56,85,18.2,17.4,6.5,80.6,Soyabeans
2014,JAN,21.5,51,72,75,18.9,15.0,7.1,80.1,Soyabeans
2014,JAN,21.5,57,73,85,18.5,14.7,7.4,91.9,Soyabeans
2014,JAN,21.5,22,64,82,19.5,17.2,6.5,87.5,Soyabeans
2014,JAN,21.5,52,73,79,17.3,18.7,7.8,94.0,Soyabeans
2014,JAN,21.5,29,75,75,19.6,18.7,7.1,88.5,Soyabeans
2014,JAN,21.5,44,59,78,20.7,19.9,7.6,84.8,Soyabeans
2014,JAN,21.5,41,69,82,20.0,16.6,6.7,69.0,Soyabeans
2014,JAN,21.5,52,56,85,20.1,14.4,6.8,88.7,Soyabeans
2014,JAN,21.5,34,76,80,20.7,15.8,8.0,65.2,Soyabeans
2014,JAN,21.5,42,74,83,19.3,14.3,7.5,65.8,Soyabeans
2014,JAN,21.5,34,71,79,17.9,15.9,7.7,74.6,Soyabeans
2014,JAN,21.5,27,73,79,19.2,15.8,7.4,82.7,Soyabeans
2014,JAN,21.5,30,70,79,20.3,20.0,7.3,69.6,Soyabeans
2014,JAN,21.5,57,57,75,17.1,18.3,7.8,87.3,Soyabeans
2014,JAN,21.5,27,79,82,17.1,17.5,6.3,70.9,Soyabeans
2014,JAN,21.5,32,71,85,20.6,14.4,6.4,92.1,Soyabeans
2014,JAN,21.5,31,76,82,20.8,17.9,7.6,79.2,Soyabeans
2014,JAN,21.5,33,75,84,19.5,18.7,7.2,68.8,Soyabeans
2014,JAN,21.5,47,80,77,17.2,16.4,7.6,72.9,Soyabeans
2014,JAN,21.5,54,62,80,17.5,16.4,7.5,79.5,Soyabeans
2014,JAN,21.5,47,79,78,17.5,14.8,6.6,65.1,Soyabeans
2014,JAN,21.5,35,57,83,19.5,17.4,7.5,80.5,Soyabeans
2014,JAN,21.5,53,73,77,19.7,18.1,7.3,73.6,Soyabeans
2014,JAN,21.5,45,61,78,19.5,16.1,6.5,81.5,Soyabeans
2014,JAN,21.5,37,78,79,20.0,14.8,7.8,88.7,Soyabeans
2014,JAN,21.5,30,75,81,19.4,16.8,6.4,68.5,Soyabeans
2014,JAN,21.5,37,55,82,19.5,18.0,8.4,78.4,Soyabeans
2014,JAN,21.5,53,65,76,20.2,16.4,8.7,77.3,Soyabeans
2014,JAN,21.5,22,60,85,18.8,14.7,7.8,94.8,Soyabeans
2014,JAN,21.5,60,61,78,20.7,19.8,6.3,94.0,Soyabeans
2014,JAN,21.5,42,67,77,19.0,15.9,7.1,78.7,Soyabeans
2014,JAN,21.5,39,76,76,20.0,15.6,8.1,69.2,Soyabeans
2014,JAN,21.5,35,63,76,17.8,17.6,7.7,90.8,Soyabeans
2014,JAN,21.5,30,65,82,20.7,15.3,7.1,76.8,Soyabeans
2014,JAN,21.5,57,56,78,17.3,18.8,8.9,68.0,Soyabeans
2014,JAN,21.5,48,65,78,17.4,14.3,7.9,73.1,Soyabeans
2014,JAN,21.5,36,56,83,18.9,19.8,7.5,69.1,Soyabeans
2014,JAN,21.5,40,58,75,18.6,14.8,7.2,89.6,Soyabeans
2014,JAN,21.5,49,69,82,18.3,15.4,7.3,81.8,Soyabeans
2014,JAN,17.1,90,42,43,20.9,82.0,6.5,202.9,rice
2014,JAN,17.1,85,58,41,21.8,80.3,7.0,226.7,rice
2014,JAN,17.1,60,55,44,23.0,82.3,7.8,264.0,rice
2014,JAN,17.1,74,35,40,26.5,80.2,7.0,242.9,rice
2014,JAN,17.1,78,42,42,20.1,81.6,7.6,262.7,rice
2014,JAN,17.1,69,37,42,23.1,83.4,7.1,251.1,rice
2014,JAN,17.1,69,55,38,22.7,82.6,5.7,271.3,rice
2014,JAN,17.1,94,53,40,20.3,82.9,5.7,242.0,rice
2014,JAN,17.1,89,54,38,24.5,83.5,6.7,230.4,rice
2014,JAN,17.1,68,58,38,23.2,83.0,6.3,221.2,rice
2014,JAN,17.1,91,53,40,26.5,81.4,5.4,264.6,rice
2014,JAN,17.1,90,46,42,24.0,81.5,7.5,250.1,rice
2014,JAN,17.1,78,58,44,26.8,80.9,5.1,284.4,rice
2014,JAN,17.1,93,56,36,24.0,82.1,7.0,185.3,rice
2014,JAN,17.1,94,50,37,25.7,80.7,6.9,209.6,rice
2014,JAN,17.1,60,48,39,24.3,80.3,7.0,231.1,rice
2014,JAN,17.1,85,38,41,21.6,82.8,6.2,276.7,rice
2014,JAN,17.1,91,35,39,23.8,80.4,7.0,206.3,rice
2014,JAN,17.1,77,38,36,21.9,80.2,6.0,224.6,rice
2014,JAN,17.1,88,35,40,23.6,83.6,5.9,291.3,rice
2014,JAN,17.1,89,45,36,21.3,80.5,6.4,185.5,rice
2014,JAN,17.1,76,40,43,25.2,83.1,5.1,231.4,rice
2014,JAN,17.1,67,59,41,21.9,81.0,6.0,213.4,rice
2014,JAN,17.1,83,41,43,21.1,82.7,6.3,233.1,rice
2014,JAN,17.1,98,47,37,23.5,81.3,7.4,224.1,rice
2014,JAN,17.1,66,53,41,25.1,80.5,7.8,257.0,rice
2014,JAN,17.1,97,59,43,26.4,84.0,6.3,271.4,rice
2014,JAN,17.1,97,50,41,24.5,80.5,7.1,260.3,rice
2014,JAN,17.1,60,49,44,20.8,84.5,6.2,240.1,rice
2014,JAN,17.1,84,51,35,22.3,80.6,6.0,198.0,rice
2014,JAN,17.1,73,57,41,21.4,84.9,5.8,272.2,rice
2014,JAN,17.1,92,35,40,22.2,80.3,6.4,200.1,rice
2014,JAN,17.1,85,37,39,24.5,82.7,6.4,224.7,rice
2014,JAN,17.1,98,53,38,20.3,81.6,5.0,270.4,rice
2014,JAN,17.1,88,54,44,25.7,83.9,6.1,233.1,rice
2014,JAN,17.1,95,55,42,26.8,82.1,6.0,193.3,rice
2014,JAN,17.1,99,57,35,26.8,81.2,6.0,272.3,rice
2014,JAN,17.1,95,39,36,23.9,83.2,5.6,285.2,rice
2014,JAN,17.1,60,43,44,21.0,83.0,7.4,298.4,rice
2014,JAN,17.1,63,44,41,24.2,83.7,5.6,257.0,rice
2014,JAN,17.1,62,42,36,22.8,82.1,6.4,248.7,rice
2014,JAN,17.1,64,45,43,25.6,83.5,5.5,209.9,rice
2014,JAN,17.1,83,60,36,25.6,80.1,6.9,200.8,rice
2014,JAN,17.1,82,40,40,23.8,84.8,6.3,298.6,rice
2014,JAN,17.1,85,52,45,26.3,82.4,7.2,265.5,rice
2014,JAN,17.1,91,35,38,24.9,80.5,6.1,183.7,rice
2014,JAN,17.1,76,49,42,25.0,84.5,5.2,197.0,rice
2014,JAN,17.1,74,39,38,23.2,84.6,7.8,233.0,rice
2014,JAN,17.1,79,43,39,21.7,80.7,7.1,210.8,rice
2014,JAN,17.1,88,55,45,24.6,80.4,7.7,253.7,rice
2014,JAN,17.1,60,36,43,23.4,83.1,5.3,219.9,rice
2014,JAN,17.1,76,60,39,20.0,80.3,6.8,208.6,rice
2014,JAN,17.1,93,56,42,23.9,82.2,7.4,195.1,rice
2014,JAN,17.1,65,60,43,22.0,81.9,5.7,227.4,rice
2014,JAN,17.1,95,52,36,26.2,83.8,5.5,286.5,rice
2014,JAN,17.1,75,38,39,23.4,84.8,6.2,283.9,rice
2014,JAN,17.1,74,54,38,25.7,83.5,7.1,217.4,rice
2014,JAN,17.1,91,36,45,24.4,82.5,6.0,268.0,rice
2014,JAN,17.1,71,46,40,20.3,82.1,7.2,192.0,rice
2014,JAN,17.1,99,55,35,21.7,80.2,6.5,278.0,rice
2014,JAN,17.1,72,40,38,20.4,82.2,7.6,245.2,rice
2014,JAN,17.1,83,58,45,25.8,83.5,5.9,245.7,rice
2014,JAN,17.1,93,58,38,20.6,83.8,6.9,279.5,rice
2014,JAN,17.1,70,36,42,21.8,80.7,6.9,202.4,rice
2014,JAN,17.1,76,47,42,20.1,83.3,5.7,263.6,rice
2014,JAN,17.1,99,41,36,24.5,82.7,6.7,182.6,rice
2014,JAN,17.1,99,54,37,21.1,80.3,5.6,198.7,rice
2014,JAN,17.1,86,59,35,25.8,82.1,6.9,243.5,rice
2014,JAN,17.1,69,46,41,23.6,80.3,5.0,263.1,rice
2014,JAN,17.1,91,56,37,23.4,80.6,6.4,269.5,rice
2014,JAN,17.1,61,52,41,25.0,83.9,6.9,204.8,rice
2014,JAN,17.1,67,45,38,22.7,82.2,7.3,260.9,rice
2014,JAN,17.1,79,42,37,24.9,82.8,6.6,295.6,rice
2014,JAN,17.1,78,43,42,21.3,83.0,7.3,192.3,rice
2014,JAN,17.1,75,54,36,26.3,84.6,7.0,257.5,rice
2014,JAN,17.1,97,36,45,22.2,81.9,6.9,278.1,rice
2014,JAN,17.1,67,47,44,26.7,81.8,7.9,280.4,rice
2014,JAN,17.1,73,35,38,24.9,82.0,5.0,185.9,rice
2014,JAN,17.1,77,36,37,26.9,81.5,6.1,194.6,rice
2014,JAN,17.1,81,41,38,22.7,83.7,7.5,200.9,rice
2014,JAN,17.1,68,57,43,26.1,80.4,5.7,182.9,rice
2014,JAN,17.1,72,45,35,25.4,82.9,5.8,195.4,rice
2014,JAN,17.1,61,53,43,26.4,81.1,6.3,223.4,rice
2014,JAN,17.1,67,43,39,26.0,85.0,6.0,186.8,rice
2014,JAN,17.1,67,58,39,25.3,80.5,5.5,220.1,rice
2014,JAN,17.1,66,60,38,22.1,83.5,6.4,231.7,rice
2014,JAN,17.1,82,43,38,23.3,81.4,5.1,242.3,rice
2014,JAN,17.1,84,50,44,25.5,81.4,5.9,182.7,rice
2014,JAN,17.1,81,53,42,23.7,81.0,5.2,233.7,rice
2014,JAN,17.1,91,50,40,20.8,84.1,6.5,230.2,rice
2014,JAN,17.1,93,53,38,26.9,81.9,7.1,290.7,rice
2014,JAN,17.1,90,44,38,23.8,83.9,7.5,241.2,rice
2014,JAN,17.1,81,45,35,26.5,80.1,6.2,218.9,rice
2014,JAN,17.1,78,40,38,26.5,83.9,7.5,248.2,rice
2014,JAN,17.1,60,51,36,22.7,82.8,6.0,257.0,rice
2014,JAN,17.1,88,46,42,22.7,83.5,6.6,194.3,rice
2014,JAN,17.1,93,47,37,21.5,82.1,6.5,295.9,rice
2014,JAN,17.1,60,55,45,21.4,83.3,5.9,287.6,rice
2014,JAN,17.1,78,35,44,26.5,84.7,7.1,183.6,rice
2014,JAN,17.1,65,37,40,23.4,83.6,5.3,188.4,rice
2014,JAN,7.9,71,54,16,22.6,63.7,5.7,87.8,maize
2014,JAN,7.9,61,44,17,26.1,71.6,6.9,102.3,maize
2014,JAN,7.9,80,43,16,23.6,71.6,6.7,66.7,maize
2014,JAN,7.9,73,58,21,20.0,57.7,6.6,60.7,maize
2014,JAN,7.9,61,38,20,18.5,62.7,6.0,65.4,maize
2014,JAN,7.9,68,41,16,21.8,57.8,6.2,102.1,maize
2014,JAN,7.9,93,41,17,25.6,66.5,6.0,105.5,maize
2014,JAN,7.9,89,60,19,25.2,66.7,5.9,78.1,maize
2014,JAN,7.9,76,44,17,20.4,62.6,5.9,65.3,maize
2014,JAN,7.9,67,60,25,24.9,66.8,5.8,109.2,maize
2014,JAN,7.9,70,44,19,23.3,73.5,5.9,94.3,maize
2014,JAN,7.9,90,49,21,24.8,68.4,6.5,74.1,maize
2014,JAN,7.9,62,52,16,22.3,58.8,7.0,63.9,maize
2014,JAN,7.9,92,44,16,18.9,65.8,6.1,94.8,maize
2014,JAN,7.9,66,54,21,25.2,60.2,5.9,72.1,maize
2014,JAN,7.9,63,58,22,18.3,55.3,6.2,63.7,maize
2014,JAN,7.9,70,47,17,24.6,70.4,6.6,104.2,maize
2014,JAN,7.9,61,41,17,25.1,65.3,6.0,76.7,maize
2014,JAN,7.9,66,53,19,23.1,60.1,6.0,65.5,maize
2014,JAN,7.9,74,55,19,18.1,62.9,6.3,84.2,maize
2014,JAN,7.9,77,57,21,24.9,73.8,6.6,79.7,maize
2014,JAN,7.9,99,50,15,18.1,71.1,5.6,88.1,maize
2014,JAN,7.9,74,56,22,18.3,66.7,6.8,81.0,maize
2014,JAN,7.9,83,45,21,18.8,58.8,5.7,79.8,maize
2014,JAN,7.9,100,48,16,25.7,67.2,5.5,74.5,maize
2014,JAN,7.9,79,51,16,25.3,68.5,6.6,96.5,maize
2014,JAN,7.9,94,39,18,23.9,57.5,5.9,102.8,maize
2014,JAN,7.9,75,49,15,21.5,71.5,5.9,102.5,maize
2014,JAN,7.9,78,48,22,23.1,63.1,5.6,70.4,maize
2014,JAN,7.9,87,54,20,25.6,63.5,6.6,108.8,maize
2014,JAN,7.9,87,35,25,21.4,63.2,6.2,65.9,maize
2014,JAN,7.9,63,43,19,18.5,55.5,6.6,91.0,maize
2014,JAN,7.9,84,57,25,22.5,68.0,6.5,64.4,maize
2014,JAN,7.9,64,35,23,23.0,61.9,5.7,63.0,maize
2014,JAN,7.9,60,46,22,24.9,65.6,6.6,87.9,maize
2014,JAN,7.9,98,44,21,25.8,74.1,6.5,107.5,maize
2014,JAN,7.9,75,56,18,19.4,62.4,5.7,61.0,maize
2014,JAN,7.9,86,55,21,21.5,59.6,6.8,109.8,maize
2014,JAN,7.9,98,35,18,23.8,74.8,6.3,91.8,maize
2014,JAN,7.9,76,57,18,19.0,74.5,6.1,94.3,maize
2014,JAN,7.9,99,56,17,24.1,73.1,6.2,71.1,maize
2014,JAN,7.9,60,44,23,24.8,70.0,5.7,76.7,maize
2014,JAN,7.9,74,48,17,21.6,60.3,6.4,69.2,maize
2014,JAN,7.9,89,60,17,25.4,57.2,6.0,101.7,maize
2014,JAN,7.9,69,51,23,22.2,72.9,6.8,106.6,maize
2014,JAN,7.9,96,46,22,20.6,69.0,6.5,66.3,maize
2014,JAN,7.9,61,60,15,24.9,68.7,6.3,91.3,maize
2014,JAN,7.9,74,58,18,20.0,56.4,6.7,109.0,maize
2014,JAN,7.9,74,43,23,26.0,61.9,6.3,99.6,maize
2014,JAN,7.9,63,43,17,19.3,65.5,6.8,71.3,maize
2014,JAN,7.9,99,36,20,20.6,65.3,6.7,78.3,maize
2014,JAN,7.9,77,36,23,24.7,56.7,6.6,88.5,maize
2014,JAN,7.9,87,60,23,20.3,63.9,6.4,62.5,maize
2014,JAN,7.9,60,38,17,18.4,64.2,6.5,76.4,maize
2014,JAN,7.9,94,54,17,23.4,61.7,5.9,107.3,maize
2014,JAN,7.9,95,38,22,19.8,61.2,5.7,100.8,maize
2014,JAN,7.9,84,44,21,21.9,61.9,5.9,107.3,maize
2014,JAN,7.9,77,58,19,22.8,56.5,5.8,101.6,maize
2014,JAN,7.9,66,44,20,19.1,69.0,6.7,80.7,maize
2014,JAN,7.9,63,35,16,22.0,65.4,6.3,83.7,maize
2014,JAN,7.9,79,45,20,23.8,59.2,5.7,90.0,maize
2014,JAN,7.9,72,60,25,18.5,69.0,5.8,88.1,maize
2014,JAN,7.9,67,51,24,23.5,61.3,5.6,64.8,maize
2014,JAN,7.9,86,36,24,26.5,72.9,5.8,73.3,maize
2014,JAN,7.9,76,48,18,19.3,69.6,5.8,83.2,maize
2014,JAN,7.9,75,53,18,20.7,59.4,6.9,103.7,maize
2014,JAN,7.9,81,45,23,19.3,68.0,6.2,84.2,maize
2014,JAN,7.9,73,45,21,24.6,73.6,6.6,96.6,maize
2014,JAN,7.9,71,35,24,22.3,59.5,5.8,68.0,maize
2014,JAN,7.9,96,54,22,25.7,61.3,7.0,83.2,maize
2014,JAN,7.9,99,39,18,19.2,68.3,6.1,87.9,maize
2014,JAN,7.9,62,48,20,21.7,60.5,6.7,95.7,maize
2014,JAN,7.9,86,37,16,20.5,59.2,5.6,67.6,maize
2014,JAN,7.9,94,50,19,23.3,73.6,5.9,97.6,maize
2014,JAN,7.9,76,39,24,24.3,55.6,7.0,64.2,maize
2014,JAN,7.9,77,52,17,24.9,65.7,5.7,75.8,maize
2014,JAN,7.9,74,39,23,22.6,65.8,6.8,88.2,maize
2014,JAN,7.9,81,49,20,18.0,60.6,5.5,104.2,maize
2014,JAN,7.9,63,42,21,23.3,72.3,5.8,67.1,maize
2014,JAN,7.9,99,38,21,22.9,71.6,6.4,67.7,maize
2014,JAN,7.9,90,52,25,26.0,69.4,6.8,103.2,maize
2014,JAN,7.9,68,40,19,26.1,66.2,6.7,107.2,maize
2014,JAN,7.9,60,57,24,18.7,61.6,6.1,75.0,maize
2014,JAN,7.9,71,52,18,25.1,56.0,5.8,78.2,maize
2014,JAN,7.9,61,59,17,23.3,59.2,6.5,105.0,maize
2014,JAN,7.9,88,38,15,25.1,65.9,6.5,62.5,maize
2014,JAN,7.9,65,60,22,25.4,72.5,6.6,107.9,maize
2014,JAN,7.9,78,37,22,25.3,63.3,6.3,74.5,maize
2014,JAN,7.9,78,58,15,25.0,67.8,6.5,62.9,maize
2014,JAN,7.9,92,60,23,18.7,71.5,5.7,69.9,maize
2014,JAN,7.9,79,59,17,20.4,63.7,6.6,108.5,maize
2014,JAN,7.9,91,55,15,18.1,72.6,6.4,79.0,maize
2014,JAN,7.9,76,51,18,26.2,72.0,6.2,79.8,maize
2014,JAN,7.9,87,48,25,18.7,61.4,6.7,93.6,maize
2014,JAN,7.9,71,60,22,26.1,59.4,6.2,85.8,maize
2014,JAN,7.9,90,57,24,18.9,72.8,6.2,82.3,maize
2014,JAN,7.9,67,35,22,23.3,63.2,6.4,108.8,maize
2014,JAN,7.9,60,54,19,18.7,62.5,6.4,70.2,maize
2014,JAN,7.9,83,58,23,19.7,59.7,6.4,65.5,maize
2014,JAN,7.9,83,57,19,25.7,70.7,6.9,98.7,maize
2014,JAN,0.003108553,24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,apple
2014,JAN,0.003108553,14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
2014,JAN,0.003108553,20,129,201,23.41044706,91.69913296,5.587905967,116.0777931,apple
2014,JAN,0.003108553,32,137,204,22.86006627,93.12859895,5.824151693,117.7296726,apple
2014,JAN,0.003108553,27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,apple
2014,JAN,0.003108553,22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,apple
2014,JAN,0.003108553,30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
2014,JAN,0.003108553,29,121,196,22.84852833,94.32130209,6.079497202,123.5977843,apple
2014,JAN,0.003108553,13,126,204,23.1094265,92.79630809,6.383180271,108.183792,apple
2014,JAN,0.003108553,30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple
2014,JAN,0.003108553,36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple
2014,JAN,0.003108553,37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
2014,JAN,0.003108553,33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,apple
2014,JAN,0.003108553,35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
2014,JAN,0.003108553,29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple
2014,JAN,0.003108553,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
2014,JAN,0.003108553,29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,apple
2014,JAN,0.003108553,32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,apple
2014,JAN,0.003108553,13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
2014,JAN,0.003108553,25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
2014,JAN,0.003108553,37,126,196,23.59997268,90.97597665,5.596449493,107.1728191,apple
2014,JAN,0.003108553,11,143,197,22.98458907,93.3204487,5.875718516,122.1952483,apple
2014,JAN,0.003108553,10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
2014,JAN,0.003108553,24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,apple
2014,JAN,0.003108553,23,138,195,22.49095104,91.70292746,5.795985716,124.3915101,apple
2014,JAN,0.003108553,18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
2014,JAN,0.003108553,13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,apple
2014,JAN,0.003108553,26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
2014,JAN,0.003108553,28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,apple
2014,JAN,0.003108553,26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,apple
2014,JAN,0.003108553,21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
2014,JAN,0.003108553,21,135,198,23.86087054,94.92048112,5.765015126,105.0241329,apple
2014,JAN,0.003108553,15,133,199,23.99686172,91.61001707,5.824778636,117.6102915,apple
2014,JAN,0.003108553,31,130,198,21.80129837,92.73446667,5.554823557,120.0586671,apple
2014,JAN,0.003108553,25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,apple
2014,JAN,0.003108553,16,143,204,23.71475278,91.53331177,5.631333387,121.8961665,apple
2014,JAN,0.003108553,19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
2014,JAN,0.003108553,10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,apple
2014,JAN,0.003108553,20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple
2014,JAN,0.003108553,28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,apple
2014,JAN,0.003108553,28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple
2014,JAN,0.003108553,27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,apple
2014,JAN,0.003108553,30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,apple
2014,JAN,0.003108553,32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,apple
2014,JAN,0.003108553,29,139,205,23.64142354,93.74461474,6.155939453,116.6912176,apple
2014,JAN,0.003108553,26,126,195,21.41363812,92.99124545,5.878568981,118.3979065,apple
2014,JAN,0.003108553,40,136,202,22.85267372,94.5764581,5.935336308,117.5314026,apple
2014,JAN,0.003108553,35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,apple
2014,JAN,0.003108553,17,136,196,23.87192332,90.49939035,5.882155988,103.0548094,apple
2014,JAN,0.003108553,33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,apple
2014,JAN,0.003108553,16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
2014,JAN,0.003108553,27,120,200,21.45278675,90.74531921,6.110218826,116.7036582,apple
2014,JAN,0.003108553,29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
2014,JAN,0.003108553,15,123,204,22.52709326,92.54780429,6.365972688,115.3830068,apple
2014,JAN,0.003108553,5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,apple
2014,JAN,0.003108553,10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple
2014,JAN,0.003108553,29,138,197,22.19055385,92.43764169,5.830892252,121.6622761,apple
2014,JAN,0.003108553,30,137,200,22.91430043,90.70475565,5.603413172,118.6044645,apple
2014,JAN,0.003108553,29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,apple
